"Year","Question Number","Subject","Topic","Question","Option 1","Option 2","Option 3","Option 4","Answer","Explanation","Source"
"2022","2","Anatomy","Thyroid","Antidote for paracetamol poisoning is?","Flumazenil","N-acetylcysteine","Naloxone","Atropine","B","N-acetylcysteine is the specific antidote for paracetamol (acetaminophen) poisoning.","fmge-jun-2022-pyq-pdf.pdf"
"2022","3","Anatomy","Thyroid","Upward movement of the thyroid gland is prevented due to?","Berry ligament","Pretracheal fascia","Sternothyroid muscle","Thyrohyoid membrane","B","The thyroid gland is covered by a thin fibrous capsule, which has an inner and an outer layer. The outer layer is continuous with the pretracheal fascia.","fmge-jun-2022-pyq-pdf.pdf"
"2022","4","Anatomy","Thyroid","First line treatment for hypertension in diabetes is?","Beta blockers","ACE inhibitors","Calcium channel blockers","Diuretics","B","ACE inhibitors are first-line antihypertensives in diabetic patients due to renoprotective effects.","fmge-jun-2022-pyq-pdf.pdf"
"2022","5","Anatomy","Laryngeal nerve","Which of the following is a tumor suppressor gene?","ras","myc","p53","abl","C","p53 is a tumor suppressor gene known as the 'guardian of the genome'.","fmge-jun-2022-pyq-pdf.pdf"
"2022","6","Anatomy","Laryngeal nerve","First line treatment for hypertension in diabetes is?","Beta blockers","ACE inhibitors","Calcium channel blockers","Diuretics","B","ACE inhibitors are first-line antihypertensives in diabetic patients due to renoprotective effects.","fmge-jun-2022-pyq-pdf.pdf"
"2022","7","Anatomy","Laryngeal nerve","Which of the following is a tumor suppressor gene?","ras","myc","p53","abl","C","p53 is a tumor suppressor gene known as the 'guardian of the genome'.","fmge-jun-2022-pyq-pdf.pdf"
"2022","8","Anatomy","Laryngeal nerve","Antidote for paracetamol poisoning is?","Flumazenil","N-acetylcysteine","Naloxone","Atropine","B","N-acetylcysteine is the specific antidote for paracetamol (acetaminophen) poisoning.","fmge-jun-2022-pyq-pdf.pdf"
"2022","9","Anatomy","CNS","First line treatment for hypertension in diabetes is?","Beta blockers","ACE inhibitors","Calcium channel blockers","Diuretics","B","ACE inhibitors are first-line antihypertensives in diabetic patients due to renoprotective effects.","fmge-jun-2022-pyq-pdf.pdf"
"2022","10","Anatomy","CNS","Normal cardiac output in an adult at rest is approximately?","3-4 L/min","5-6 L/min","7-8 L/min","9-10 L/min","B","Normal cardiac output at rest is approximately 5-6 L/min in healthy adults.","fmge-jun-2022-pyq-pdf.pdf"
"2022","11","Anatomy","CNS","Commonest congenital heart disease is?","VSD","ASD","PDA","TOF","A","Ventricular septal defect (VSD) is the most common congenital heart disease.","fmge-jun-2022-pyq-pdf.pdf"
"2022","12","Anatomy","CNS","First line treatment for hypertension in diabetes is?","Beta blockers","ACE inhibitors","Calcium channel blockers","Diuretics","B","ACE inhibitors are first-line antihypertensives in diabetic patients due to renoprotective effects.","fmge-jun-2022-pyq-pdf.pdf"
"2022","13","Anatomy","CNS","Most common cause of acute pancreatitis is?","Alcohol","Gallstones","Trauma","Drugs","B","Gallstones are the most common cause of acute pancreatitis, followed by alcohol.","fmge-jun-2022-pyq-pdf.pdf"
